iter	RMSE
2385	0.06935246246
2386	0.06934689023
2387	0.06934324182
2388	0.06932812402
2389	0.06929738465
2390	0.06928206736
2391	0.06926014113
2392	0.0692583815
2393	0.06925662571
2394	0.06923505557
2395	0.06922344361
2396	0.06922132813
2397	0.06919221815
2398	0.06918983229
2399	0.06918798752
2400	0.06917804909
2401	0.06916769177
2402	0.06914759138
2403	0.06911566014
2404	0.0691094166
2405	0.0690903884
2406	0.06907973649
2407	0.06907726821
2408	0.06905842026
2409	0.06905705939
2410	0.06904037612
2411	0.06901277846
2412	0.06901083966
2413	0.06900836508
2414	0.06900393204
2415	0.06898144451
2416	0.06897909157
2417	0.06897543853
2418	0.06896213545
2419	0.06895816969
2420	0.06894604636
2421	0.06894440086
2422	0.06892774107
2423	0.06892164206
2424	0.06891982092
2425	0.06891412746
2426	0.0689074898
2427	0.06887909203
2428	0.06885366806
2429	0.0688522036
2430	0.06883944963
2431	0.06883808814
2432	0.06883099481
2433	0.0688295687
2434	0.06882067815
2435	0.06881935005
2436	0.06879844501
2437	0.06878934636
2438	0.06878804674
2439	0.06878078075
2440	0.06877940197
2441	0.0687630279
2442	0.06876091214
2443	0.06874654119
2444	0.06873729366
2445	0.06872851479
2446	0.06870824673
2447	0.06870696903
2448	0.06870578412
2449	0.06870462862
2450	0.06870344744
2451	0.06869217742
2452	0.06868226079
2453	0.06865606432
2454	0.06865282335
2455	0.06865133307
2456	0.06865005721
2457	0.06863963916
2458	0.0686161434
2459	0.06861038321
2460	0.06860058499
2461	0.0685666021
2462	0.0685622868
2463	0.06855636932
2464	0.06855191336
2465	0.06855006338
2466	0.06852758678
2467	0.06851881613
2468	0.06849135278
2469	0.06847297627
2470	0.06845795707
2471	0.06843404873
2472	0.06842946551
2473	0.06841417689
2474	0.06840750543
2475	0.06839461801
2476	0.06837674325
2477	0.06837336416
2478	0.06835925568
2479	0.06835664284
2480	0.06834519166
2481	0.06830617048
2482	0.06829090202
2483	0.06828208579
2484	0.06825554789
2485	0.06825372598
2486	0.06822366829
2487	0.06820168226
2488	0.06819844948
2489	0.06818544774
2490	0.06817331085
2491	0.0681714757
2492	0.06815688294
2493	0.06812923159
2494	0.06811098855
2495	0.06809365558
2496	0.06809049383
2497	0.06808939643
2498	0.06806314585
2499	0.06804864835
2500	0.06804273463
2501	0.06804083957
2502	0.06803001493
2503	0.06800640337
2504	0.06797331433
2505	0.06795218965
2506	0.06794998976
2507	0.06793679315
2508	0.0679174614
2509	0.06791552029
2510	0.06789921186
2511	0.06787087195
2512	0.06786711131
2513	0.06785728201
2514	0.0678422314
2515	0.06782429513
2516	0.06782237251
2517	0.06780268284
2518	0.06778293492
2519	0.06778094416
2520	0.06776343988
2521	0.06776154056
2522	0.06774096968
2523	0.06772181771
2524	0.06771894298
2525	0.06770169814
2526	0.06769622553
2527	0.06769519158
2528	0.06768421345
2529	0.06768085512
2530	0.06767508409
2531	0.06767121338
2532	0.06767040955
2533	0.06766851455
2534	0.06765608951
2535	0.06764014323
2536	0.06763663418
2537	0.06763482577
2538	0.06763379703
2539	0.06763181838
2540	0.06762857868
2541	0.06762627573
2542	0.06762520826
2543	0.06760535709
2544	0.06759094372
2545	0.06758996823
2546	0.06758874205
2547	0.0675820045
2548	0.06758021519
2549	0.06755423267
2550	0.06755013477
2551	0.06753883708
2552	0.06753276333
2553	0.0675198162
2554	0.06751089565
2555	0.06750299459
2556	0.06749831664
2557	0.06749625573
2558	0.0674798701
2559	0.06747583574
2560	0.06747295664
2561	0.0674636679
2562	0.06742385626
2563	0.06741714673
2564	0.06740647275
2565	0.06739095483
2566	0.06738939349
2567	0.06736399199
2568	0.06732387398
2569	0.06730653043
2570	0.06730489376
2571	0.0672986553
2572	0.06728560479
2573	0.06727567518
2574	0.06727038891
2575	0.06726009525
2576	0.06724504627
2577	0.06723703964
2578	0.06722506981
2579	0.06721936541
2580	0.06721701896
2581	0.06721607638
2582	0.06721332716
2583	0.06720927206
2584	0.06720730869
2585	0.06720450084
2586	0.06720349967
2587	0.06720186029
2588	0.067178892
2589	0.06716457737
2590	0.0671608432
2591	0.06715925341
2592	0.06712966386
2593	0.0671163606
2594	0.067110991
2595	0.06710879693
2596	0.06706785845
2597	0.06706250096
2598	0.06705972386
2599	0.06705383378
2600	0.06703660873
2601	0.06701758496
2602	0.06701592796
2603	0.06700936629
2604	0.06698754991
2605	0.06695703258
2606	0.06695551112
2607	0.06694747589
2608	0.0669438138
2609	0.06693203179
2610	0.06692179804
2611	0.06691330698
2612	0.06690407673
2613	0.06688747119
2614	0.06688624971
2615	0.06688357262
2616	0.06688205501
2617	0.06687725705
2618	0.06687147374
2619	0.0668461748
2620	0.06683191738
2621	0.06682276966
2622	0.06682089182
2623	0.06681406598
2624	0.06679206987
2625	0.06679124206
2626	0.06678501331
2627	0.06678304699
2628	0.0667702194
2629	0.06676005655
2630	0.0667586678
2631	0.06675063448
2632	0.06674556292
2633	0.06674061763
2634	0.0667393702
2635	0.06672056139
2636	0.06671969347
2637	0.06670749866
2638	0.06670640196
2639	0.06668641174
2640	0.06668426194
2641	0.06667878006
2642	0.06666964468
2643	0.06666109917
2644	0.06665962433
2645	0.06665268522
2646	0.06662997335
2647	0.06661141997
2648	0.06657305162
2649	0.06656375719
2650	0.06656113727
2651	0.06654659639
2652	0.06654410339
2653	0.06654357292
2654	0.06654172535
2655	0.06651385759
2656	0.06649934208
2657	0.06649779844
2658	0.06647660071
2659	0.06644536358
2660	0.06643410845
2661	0.06642825464
2662	0.06641840027
2663	0.06640690881
2664	0.06639912815
2665	0.06637543983
2666	0.06634199397
2667	0.06631337683
2668	0.06628332054
2669	0.06626760242
2670	0.06626157057
2671	0.0662540851
2672	0.06624446345
2673	0.0662066686
2674	0.06619217416
2675	0.06617555295
2676	0.06615761302
2677	0.06615338561
2678	0.06614912879
2679	0.06614744087
2680	0.06614610344
2681	0.06614270447
2682	0.06613443888
